Paper Title	Authors	Name of File	Name of Supplemenatary Material	
fastISM: Performant in-silico saturation mutagenesis for convolutional neural networks	Surag Nair, Avanti Shrikumar, Anshul Kundaje	5\Submission\fastISM_MLCB.pdf	5\submission\fastISM_MLCB_supp.pdf	
Using ontology embeddings for structural inductive bias in gene expression data analysis	Maja Trebacz, Zohreh Shams, Mateja Jamnik, Paul Scherer, Nikola Simidjievski, Helena Andres Terre, Pietro Liò	6\Submission\MLCB-OntoGCN.pdf		
Prioritization of non-coding variants based on human intolerance to variation and primary sequence context using deep learning	Dimitrios Vitsios, Ryan S. Dhindsa, Ayal B. Gussow, Slavé Petrovski	9\Submission\Vitsios_et_al-MLCB_2020.pdf		
Benchmarking Reverse-Complement Strategies for Deep Learning Models in Genomics	Hannah Zhou, Avanti Shrikumar, Anshul Kundaje	10\Submission\Revcomp_Hannah_Paper (19).pdf		
Incorporating network based protein complex discovery into automated model construction	Paul Scherer, Maja Trebacz, Nikola Simidjievski, Zohreh Shams, Helena Andres Terre, Pietro Liò, Mateja Jamnik	11\Submission\MLCB_Submission_PComplexNet.pdf		
Ledidi: Designing genomic edits that induce functional activity	Jacob Schreiber, Yang Young Lu, William Stafford Noble 	12\Submission\jmschr-epigenome-editing-mlcb.pdf		
HiC2Self: Self-supervised Hi-C contact map denoising	Rui Yang, Alizera Karbalayghareh, Christina Leslie	13\Submission\HiC2Self.pdf		
Leveraging Unlabeled Data for Glioma Molecular Subtype and Survival Prediction	Nicholas Nuechterlein, Beibin Li, Mehmet Saygin Seyfioglu, Sachin Mehta, Patrick J Cimino, Linda Shapiro	15\Submission\MLCB_2020_final.pdf	15\Submission\MLCB_SUP_final.pdf	
Nonlinear post-selection inference for genome-wide association studies	Lotfi Slim, Clement Chatelain, Chloe-Agathe Azencott	16\Submission\MLCB.pdf		
Covered Information Disentanglement: Correcting Permutation Feature Importance in the Presence of Covariates	Joao Belo Pereira, Diogo Bastos, Erik Stroes, Evgeni Levin	19\Submission\CID.pdf	19\Submission\sup_material.pdf	
Weight-based Neural Network Interpretability using Activation Tuning and Personalized Products	Hussein Mohsen, Jonathan Warrell, Martin Renqiang Min, Sahand Negahban, Mark Gerstein	21\Submission\MLCB_20_Weight-based Neural Network Interpretability using Activation Tuning and Personalized Products.pdf		
Novel Insights into RNA Splicing from Interpretable Machine Learning	Mukund Sudarshan, Susan E. Liao, Oded Regev	22\Submission\MLCB_2020_submission.pdf		
A Method for Pedigree-based Propagated Risk Phenotyping on Clalit Data	Nancy-Sarah Yacovzada, Iris Kalka, Eran Segal, Eran Hornstein	24\Submission\MLCB2020_Pedigree-based HRS.pdf		
VSS: Variance-stabilized signals for sequencing-based genomic signals	Faezeh Bayat, Maxwell Libbrecht	26\Submission\MLCB_2020.pdf		
Do machine learning predictors of microbial phenotype from genotype identify causal variants?	Morteza M. Saber, Maxwell Libbrecht, Leonid Chindelevitch, Jesse Shapiro	28\Submission\MLCB2020_Morteza.M.Saber.pdf		
ImputeCoVNet: 2D ResNet Autoencoder for Imputation of SARS-CoV-2 Sequences	Ahmad Pesaranghader, Justin Pelletier, Jean-Christophe Grenier, Raphaël Poujol, Julie Hussin	29\Submission\ImputeCoVNet.pdf		
Efficient inference of nonlinear feature attributions with Scrambling Neural Networks	Johannes Linder, Alyssa La Fleur, Sreeram Kannan, Zibo Chen, Ajasja Ljubetic, David Baker, Georg Seelig	33\Submission\Scrambler_MLCB_Abstract_Final (1).pdf		
RLevolution: Unravelling the history of genomic instability through deep reinforcement learning	Yun Feng, Christopher Yau	38\Submission\WGD_MLCB_.pdf		
Learning interpretable latent autoencoder representations with annotations of feature sets	Sergei Rybakov, Mohammad Lotfollahi, Fabian J. Theis, F. Alexander Wolf	40\Submission\Interpretable_Autoencoders_MLCB.pdf		
